placeName,kakaoPlaceId,primaryType,primaryTypeName,collectionTypes,skinTreatmentConfidence,skinTreatmentSignals,categoryName,categoryGroupCode,categoryGroupName,phone,addressName,roadAddressName,mapX,mapY,placeUrl
CNP차앤박피부과 압구정점,11687298,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|여드름|피부과,"의료,건강 > 병원 > 피부과 > CNP차앤박피부과",HP8,병원,02-515-2100,서울 강남구 신사동 580-6,서울 강남구 압구정로 168,127.0279656709,37.5265824052,http://place.map.kakao.com/11687298
CNP차앤박피부과 양재점,27294501,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|여드름|울쎄라|피부과|피부레이저,"의료,건강 > 병원 > 피부과 > CNP차앤박피부과",HP8,병원,02-3463-2400,서울 강남구 도곡동 953-1,서울 강남구 강남대로 240,127.0344301531,37.4852596991,http://place.map.kakao.com/27294501
CU클린업피부과의원 청담점,8109582,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|써마지|여드름|울쎄라|제모|피부과|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-512-7582,서울 강남구 청담동 84-6,서울 강남구 선릉로 832,127.0404052394,37.5262544438,http://place.map.kakao.com/8109582
DK의원,13502517,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|보톡스|울쎄라|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-588-2325,서울 강남구 역삼동 648-26,서울 강남구 테헤란로 121,127.0310541732,37.4994289739,http://place.map.kakao.com/13502517
G힐링스퀘어의원,17187308,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|보톡스|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-546-2575,서울 강남구 논현동 4,서울 강남구 도산대로 122,127.0221343515,37.5168492079,http://place.map.kakao.com/17187308
H리버스에이징센터,541775643,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|피부과,"의료,건강 > 병원 > 피부과",HP8,병원,02-2051-6971,서울 강남구 역삼동 732-19,서울 강남구 역삼로 245,127.0429739938,37.4979196576,http://place.map.kakao.com/541775643
JD리체스클리닉,1093265811,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|써마지|울쎄라|제모|피부과|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-516-0777,서울 강남구 논현동 200-7,서울 강남구 강남대로 476,127.0247908671,37.5049067674,http://place.map.kakao.com/1093265811
JK성형외과의원,8563509,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,medium,리프팅,"의료,건강 > 병원 > 성형외과",HP8,병원,02-777-7797,서울 강남구 신사동 584-2,서울 강남구 논현로 835,127.027964367,37.5230892196,http://place.map.kakao.com/8563509
JNK의원 액취증클리닉,1350484810,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,medium,보톡스,"의료,건강 > 병원 > 일반의원",HP8,병원,02-544-3009,서울 강남구 논현동 3-2,서울 강남구 도산대로 120,127.0218764139,37.5167285215,http://place.map.kakao.com/1350484810
JW정원성형외과의원,19674486,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,medium,피부레이저,"의료,건강 > 병원 > 성형외과",HP8,병원,02-541-5114,서울 강남구 삼성동 120-12,서울 강남구 삼성로 553,127.0540511029,37.5108706647,http://place.map.kakao.com/19674486
JY성형외과의원,2060353933,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|보톡스|써마지|울쎄라|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-512-5800,서울 강남구 청담동 124-3,서울 강남구 도산대로 509,127.048953405,37.5247077933,http://place.map.kakao.com/2060353933
LH성형외과,10059056,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,medium,보톡스,"의료,건강 > 병원 > 성형외과",HP8,병원,02-512-5120,서울 강남구 신사동 576-6,서울 강남구 압구정로28길 24,127.0274582537,37.5249562154,http://place.map.kakao.com/10059056
SC301의원,18661606,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,피부레이저|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,1666-1301,서울 강남구 삼성동 77-10,서울 강남구 영동대로 611,127.0594402456,37.5146973429,http://place.map.kakao.com/18661606
SW피부과 선릉점,12315815,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|피부과,"의료,건강 > 병원 > 피부과",HP8,병원,,서울 강남구 역삼동 705-25,서울 강남구 선릉로 513,127.0483526735,37.5052745088,http://place.map.kakao.com/12315815
V&MJ피부과의원,1313768854,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|써마지|울쎄라|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-540-8300,서울 강남구 신사동 630-16,서울 강남구 도산대로 303,127.0344459437,37.5221000082,http://place.map.kakao.com/1313768854
VS라인의원,277434336,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-6949-3727,서울 강남구 신사동 600,서울 강남구 압구정로30길 51,127.029361782,37.5239259118,http://place.map.kakao.com/277434336
W클리닉 삼성점,1628451623,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|써마지|여드름|울쎄라|제모|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-567-9993,서울 강남구 삼성동 158-23,서울 강남구 테헤란로 513,127.0588943367,37.5080355908,http://place.map.kakao.com/1628451623
가넷성형외과의원,334965442,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|보톡스|피부레이저|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-517-8800,서울 강남구 신사동 600,서울 강남구 압구정로30길 51,127.0293663081,37.5239286137,http://place.map.kakao.com/334965442
가암염원석성형외과의원,430797069,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,medium,보톡스,"의료,건강 > 병원 > 성형외과",HP8,병원,,서울 강남구 신사동 577-5,서울 강남구 논현로171길 15,127.0271394264,37.5254851774,http://place.map.kakao.com/430797069
가인성형외과의원,8639197,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-518-1800,서울 강남구 신사동 592-15,서울 강남구 논현로 830,127.0285524332,37.5226142505,http://place.map.kakao.com/8639197
강남12의원,27504101,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|보톡스|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-567-3000,서울 강남구 역삼동 822-5,서울 강남구 테헤란로 111,127.0292807277,37.498881615,http://place.map.kakao.com/27504101
강남라렌의원,513018119,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|여드름|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-894-7781,서울 강남구 역삼동 825-9,서울 강남구 강남대로 378,127.0286330144,37.4966544858,http://place.map.kakao.com/513018119
강남로미모의원,8343660,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|피부과|피부레이저,"의료,건강 > 병원 > 피부과",HP8,병원,02-566-6623,서울 강남구 역삼동 822-2,서울 강남구 테헤란로 107,127.0287593081,37.4986618975,http://place.map.kakao.com/8343660
강남미의원,16068108,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,medium,울쎄라,"의료,건강 > 병원 > 성형외과",HP8,병원,02-564-7328,서울 강남구 역삼동 823-22,서울 강남구 테헤란로 128,127.0325807451,37.4991384387,http://place.map.kakao.com/16068108
강남브엘의원,362051166,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,보톡스|써마지,"의료,건강 > 병원 > 일반의원",HP8,병원,02-517-3777,서울 강남구 논현동 201-12,서울 강남구 봉은사로 111,127.0257002662,37.5051957957,http://place.map.kakao.com/362051166
강남브이에스라인의원,436584765,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|써마지|여드름|울쎄라|제모|피부과|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-535-1312,서울 강남구 역삼동 822-2,서울 강남구 테헤란로 107,127.0287536613,37.498681721,http://place.map.kakao.com/436584765
강남비앤비의원,1405903583,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|여드름|피부과|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-544-6633,서울 강남구 신사동 501,서울 강남구 강남대로 616,127.0198437753,37.516862229,http://place.map.kakao.com/1405903583
강남비엘에스의원,55927573,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|보톡스|써마지|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-6677-2777,서울 강남구 역삼동 815,서울 강남구 강남대로 432,127.0266307823,37.5012347689,http://place.map.kakao.com/55927573
강남삼성성형외과의원,596060286,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-3477-4700,서울 강남구 논현동 164-11,서울 강남구 강남대로 506,127.0234978449,37.5074839064,http://place.map.kakao.com/596060286
강남서연성형외과의원,23279278,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,보톡스|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-535-8889,서울 강남구 신사동 512-6,서울 강남구 강남대로154길 20,127.0208202073,37.5177585594,http://place.map.kakao.com/23279278
강남셀리팅의원,676921043,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|써마지|울쎄라|피부과|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-555-1382,서울 강남구 역삼동 648-26,서울 강남구 테헤란로 121,127.031063215,37.4994163574,http://place.map.kakao.com/676921043
강남우태하피부과의원,8731536,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|여드름|피부과|피부레이저,"의료,건강 > 병원 > 피부과",HP8,병원,02-567-1675,서울 강남구 역삼동 826-23,서울 강남구 강남대로 370,127.0292207424,37.495854248,http://place.map.kakao.com/8731536
강남초이스피부과,1223622961,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|피부과,"의료,건강 > 병원 > 피부과",HP8,병원,,서울 강남구 역삼동 705-27,서울 강남구 테헤란로 337,127.0484506883,37.5047913119,http://place.map.kakao.com/1223622961
강남타임의원,1504705268,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|여드름|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-6953-0572,서울 강남구 논현동 200-7,서울 강남구 강남대로 476,127.0247908671,37.5049067674,http://place.map.kakao.com/1504705268
강남피어리의원,14593073,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|보톡스|울쎄라|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-515-0202,서울 강남구 논현동 18,서울 강남구 강남대로 590,127.0203996679,37.5145348417,http://place.map.kakao.com/14593073
갤러리아피부과의원 개포도곡점,1074948680,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|써마지|여드름|울쎄라|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-573-9839,서울 강남구 개포동 167-9,서울 강남구 선릉로 34,127.0607547941,37.4828271844,http://place.map.kakao.com/1074948680
갤러리의원,26425355,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|피부과,"의료,건강 > 병원 > 피부과",HP8,병원,02-553-7975,서울 강남구 역삼동 708-37,서울 강남구 선릉로 427,127.0493283046,37.5030493052,http://place.map.kakao.com/26425355
고고성형외과의원,1907869690,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-546-2500,서울 강남구 신사동 598-3,서울 강남구 논현로 838,127.0286522619,37.5233458404,http://place.map.kakao.com/1907869690
고슬림외과의원,222789590,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,보톡스|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-2088-3374,서울 강남구 논현동 4,서울 강남구 도산대로 122,127.022130957,37.5168456045,http://place.map.kakao.com/222789590
고우석제이엠오피부과의원,1771649252,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|제모|피부과|피부레이저,"의료,건강 > 병원 > 피부과",HP8,병원,02-3445-3456,서울 강남구 논현동 1-1,서울 강남구 도산대로 104,127.0203424,37.5160782711,http://place.map.kakao.com/1771649252
고유성형외과의원,845496548,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,보톡스|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-540-6888,서울 강남구 신사동 502-6,서울 강남구 강남대로 624,127.0195011943,37.5174677604,http://place.map.kakao.com/845496548
고정아의원,1807391631,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|써마지|울쎄라|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-548-2500,서울 강남구 논현동 5-1,서울 강남구 도산대로 134,127.023401394,37.5173427136,http://place.map.kakao.com/1807391631
골드제이의원,60007325,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|써마지|여드름|울쎄라|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-501-7715,서울 강남구 대치동 889-11,서울 강남구 테헤란로 408,127.0503866888,37.5044679421,http://place.map.kakao.com/60007325
골든디아망성형외과,1665296806,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|보톡스|써마지|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-6204-8832,서울 강남구 청담동 3,서울 강남구 도산대로 420,127.0421954041,37.5230543586,http://place.map.kakao.com/1665296806
공간성형외과의원,1400379811,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,medium,필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-511-2230,서울 강남구 신사동 501,서울 강남구 강남대로 616,127.0197872123,37.5168415154,http://place.map.kakao.com/1400379811
광피부과의원 청담,127090318,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|써마지|여드름|울쎄라|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-566-2701,서울 강남구 논현동 92,서울 강남구 도산대로 318,127.0366348177,37.5219867242,http://place.map.kakao.com/127090318
굿라이프클리닉,280060403,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|울쎄라|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-2135-1355,서울 강남구 논현동 200-7,서울 강남구 강남대로 476,127.0248677677,37.5048905331,http://place.map.kakao.com/280060403
굿모나의원,1580594595,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|보톡스|피부과|피부레이저,"의료,건강 > 병원 > 피부과",HP8,병원,02-542-5824,서울 강남구 신사동 583,서울 강남구 논현로 843,127.0279750357,37.5243947696,http://place.map.kakao.com/1580594595
권오정리얼뷰티의원,748626711,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|써마지|여드름|울쎄라|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-569-5757,서울 강남구 대치동 897-15,서울 강남구 선릉로86길 12,127.0508879118,37.503105407,http://place.map.kakao.com/748626711
그날성형외과의원,440550398,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|보톡스|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-540-4008,서울 강남구 역삼동 820-8,서울 강남구 강남대로 408,127.0275969816,37.4992433238,http://place.map.kakao.com/440550398
그랜드성형외과의원,8706814,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|써마지|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,1588-5153,서울 강남구 신사동 583-3,서울 강남구 논현로 841,127.0279251677,37.5241470058,http://place.map.kakao.com/8706814
그로브원피부과의원,1550369735,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|피부과,"의료,건강 > 병원 > 피부과",HP8,병원,02-6227-0426,서울 강남구 청담동 91-9,서울 강남구 도산대로 427,127.0425590416,37.5239489236,http://place.map.kakao.com/1550369735
그리다성형외과의원,409514854,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,보톡스|써마지|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-558-0090,서울 강남구 역삼동 820-8,서울 강남구 강남대로 408,127.0275415589,37.4992181085,http://place.map.kakao.com/409514854
그림성형외과의원,13601522,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|보톡스|피부레이저|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-543-5467,서울 강남구 논현동 211-21,서울 강남구 언주로 641,127.0348606947,37.5139232813,http://place.map.kakao.com/13601522
글래시피부과의원,832231617,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|여드름|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-515-5255,서울 강남구 청담동 100,서울 강남구 도산대로81길 51,127.0458292143,37.5271687826,http://place.map.kakao.com/832231617
글로리의원,801831837,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|써마지|여드름|울쎄라|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-6958-7525,서울 강남구 논현동 234-25,서울 강남구 봉은사로 207,127.0346655955,37.5078451629,http://place.map.kakao.com/801831837
글로비성형외과의원,19716959,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-515-3399,서울 강남구 신사동 583,서울 강남구 논현로 843,127.027982964,37.5244199958,http://place.map.kakao.com/19716959
글로비지테라안티에이징의원,333159040,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|보톡스|써마지|여드름|울쎄라|피부과|피부레이저,"의료,건강 > 병원 > 성형외과",HP8,병원,02-516-3398,서울 강남구 신사동 583,서울 강남구 논현로 843,127.0279750357,37.5243947696,http://place.map.kakao.com/333159040
기분좋은피부과의원,986414441,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|보톡스|여드름|피부과,"의료,건강 > 병원 > 피부과",HP8,병원,02-512-1675,서울 강남구 신사동 587-14,서울 강남구 도산대로 211,127.0296817397,37.5205957259,http://place.map.kakao.com/986414441
김덕현피부과의원,16617271,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|피부과,"의료,건강 > 병원 > 피부과",HP8,병원,02-549-8599,서울 강남구 논현동 143,서울 강남구 강남대로 532,127.0224715127,37.5095654272,http://place.map.kakao.com/16617271
김송이클리닉,1761671060,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|여드름|피부과|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-6406-8443,서울 강남구 청담동 83-20,서울 강남구 선릉로158길 15,127.041331448,37.5256747789,http://place.map.kakao.com/1761671060
김영재 의원,1861411320,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,medium,리프팅,"의료,건강 > 병원 > 성형외과",HP8,병원,02-546-7171,서울 강남구 청담동 48-7,서울 강남구 삼성로 772,127.0480227935,37.5236026455,http://place.map.kakao.com/1861411320
김인중성형외과의원,8810767,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,보톡스|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-3445-5599,서울 강남구 신사동 610,서울 강남구 압구정로30길 12,127.0290823082,37.5267028698,http://place.map.kakao.com/8810767
김종서성형외과,8815281,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|보톡스|써마지|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-3416-0070,서울 강남구 신사동 599-4,서울 강남구 논현로 842,127.0287520786,37.5240413901,http://place.map.kakao.com/8815281
김지연위쉬성형외과의원,13601614,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,medium,피부레이저,"의료,건강 > 병원 > 성형외과",HP8,병원,02-549-8841,서울 강남구 청담동 80-4,서울 강남구 압구정로 432,127.0440255521,37.5265558864,http://place.map.kakao.com/13601614
김진권피부과의원,13502406,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|피부과,"의료,건강 > 병원 > 피부과",HP8,병원,02-445-5373,서울 강남구 일원동 683,서울 강남구 일원로 33,127.0810573172,37.4908961401,http://place.map.kakao.com/13502406
김형진베이직성형외과의원,19120357,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|보톡스|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-544-5222,서울 강남구 신사동 591,서울 강남구 논현로 824,127.0284842973,37.5219259009,http://place.map.kakao.com/19120357
김혜영피부과의원,9734484,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|여드름|피부과|피부레이저,"의료,건강 > 병원 > 피부과",HP8,병원,02-567-0307,서울 강남구 대치동 936,서울 강남구 선릉로 312,127.0526573219,37.4975400186,http://place.map.kakao.com/9734484
꿈꾸는성형외과의원,1186812657,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|보톡스|써마지|울쎄라|피부레이저|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-552-3500,서울 강남구 역삼동 816,서울 강남구 강남대로 422,127.0269833246,37.5003922484,http://place.map.kakao.com/1186812657
