"placeName","kakaoPlaceId","isIndoor","walkHard","isNa","primaryType","primaryTypeName","collectionTypes","skinTreatmentConfidence","skinTreatmentSignals","categoryName","categoryGroupCode","categoryGroupName","phone","addressName","roadAddressName","mapX","mapY","placeUrl"
"갤러리북과바디","1974263843",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","070-8028-4236","서울 강남구 논현동 111-24","서울 강남구 선릉로133길 4","127.0404236067","37.5183616543","http://place.map.kakao.com/1974263843"
"갤러리스탠","439578454",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","","서울 강남구 논현동 149-35","서울 강남구 학동로12길 45","127.0278011554","37.5100508355","http://place.map.kakao.com/439578454"
"갤러리엘르","17809749",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-790-2138","서울 강남구 역삼동 652-3","서울 강남구 봉은사로 224","127.0369253701","37.5078606962","http://place.map.kakao.com/17809749"
"갤러리피치","12728199",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","","서울 강남구 청담동 122-22","서울 강남구 도산대로87길 25","127.050161572","37.5263552193","http://place.map.kakao.com/12728199"
"경운박물관","27158717",1,3,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 박물관","CT1","문화시설","02-3463-1336","서울 강남구 개포동 152","서울 강남구 삼성로 29","127.0660562412","37.4878384501","http://place.map.kakao.com/27158717"
"광림아트센터","22555870",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 공연장,연극극장","CT1","문화시설","02-2056-5787","서울 강남구 신사동 568-2","서울 강남구 논현로163길 33","127.02529944","37.5239340598","http://place.map.kakao.com/22555870"
"광야아트센터","231669168",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 공연장,연극극장","CT1","문화시설","02-741-9182","서울 강남구 청담동 86","서울 강남구 선릉로 806","127.0396448913","37.5238904716","http://place.map.kakao.com/231669168"
"국립관세박물관","12663808",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 박물관","CT1","문화시설","02-510-1083","서울 강남구 논현동 71","서울 강남구 언주로 721","127.0345347623","37.5184554252","http://place.map.kakao.com/12663808"
"글로벌세아 아트스페이스","394772479",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-6252-7777","서울 강남구 대치동 983-1","서울 강남구 영동대로 325","127.0654953308","37.5032892244","http://place.map.kakao.com/394772479"
"나스컨템포러리","751594927",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-2138-0201","서울 강남구 도곡동 451-6","서울 강남구 논현로24길 21","127.0447615003","37.4821054098","http://place.map.kakao.com/751594927"
"도산공원 도산안창호기념관","12728828",0,5,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 기념관","CT1","문화시설","02-541-1800","서울 강남구 신사동 649-9","서울 강남구 도산대로45길 20","127.0355078999","37.5239206199","http://place.map.kakao.com/12728828"
"동원갤러리","1643982041",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","","서울 강남구 신사동 634-10","서울 강남구 언주로 844","127.0337235567","37.5256546713","http://place.map.kakao.com/1643982041"
"레드루즈씨어터","1860262328",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 공연장,연극극장","CT1","문화시설","","서울 강남구 논현동 164-14","서울 강남구 학동로2길 56","127.0235929955","37.507947004","http://place.map.kakao.com/1860262328"
"롯데시네마 도곡","1913617889",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 영화,영상 > 영화관 > 롯데시네마","CT1","문화시설","1544-8855","서울 강남구 도곡동 174-3","서울 강남구 남부순환로 2753","127.0471052677","37.4874745085","http://place.map.kakao.com/1913617889"
"마이아트뮤지엄","1330284658",1,3,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-567-8878","서울 강남구 대치동 944-31","서울 강남구 테헤란로 518","127.0605769286","37.5075878416","http://place.map.kakao.com/1330284658"
"맥인아트","2069832301",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","0507-1415-6532","서울 강남구 삼성동 159","서울 강남구 영동대로 513","127.0588670109","37.5121252637","http://place.map.kakao.com/2069832301"
"메가박스 코엑스","7877178",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 영화,영상 > 영화관 > 메가박스","CT1","문화시설","1544-0070","서울 강남구 삼성동 159","서울 강남구 영동대로 513","127.0588403523","37.5127460688","http://place.map.kakao.com/7877178"
"메가박스 픽쳐하우스","1021343999",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 영화,영상 > 영화관 > 메가박스","CT1","문화시설","1544-0070","서울 강남구 신사동 532-1","서울 강남구 압구정로10길 9","127.0220241718","37.5229877624","http://place.map.kakao.com/1021343999"
"메타갤러리라루나","1377263828",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","010-8793-7380","서울 강남구 청담동 112-27","서울 강남구 도산대로85길 41","127.0496372894","37.5273177108","http://place.map.kakao.com/1377263828"
"모노플렉스 바이 이비스스타일 앰배서더 강남","1072118783",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 영화,영상 > 영화관","CT1","문화시설","02-3011-8888","서울 강남구 대치동 893-1","서울 강남구 삼성로 431","127.0570666478","37.5051100237","http://place.map.kakao.com/1072118783"
"민속극장풍류","11293855",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 공연장,연극극장","CT1","문화시설","02-3011-2173","서울 강남구 삼성동 112-2","서울 강남구 봉은사로 406","127.0446198596","37.51009073","http://place.map.kakao.com/11293855"
"밀알미술관","9011937",1,4,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-3412-0061","서울 강남구 일원동 713","서울 강남구 일원로 90","127.0826979713","37.4856979908","http://place.map.kakao.com/9011937"
"백암아트홀","17165962",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 공연장,연극극장","CT1","문화시설","02-559-1333","서울 강남구 삼성동 170-5","서울 강남구 테헤란로113길 7","127.0659946949","37.5104140934","http://place.map.kakao.com/17165962"
"선릉아트홀","148633927",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 공연장,연극극장","CT1","문화시설","02-553-0067","서울 강남구 역삼동 705-27","서울 강남구 테헤란로 337","127.0484574764","37.5047949132","http://place.map.kakao.com/148633927"
"성암아트홀","1006746629",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 공연장,연극극장","CT1","문화시설","0507-1344-0826","서울 강남구 논현동 268-16","서울 강남구 선릉로111길 6","127.0430211098","37.5110535958","http://place.map.kakao.com/1006746629"
"세계골프역사박물관","24857010",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 박물관","CT1","문화시설","02-2192-3366","서울 강남구 대치동 945-5","서울 강남구 테헤란로 528","127.0619233143","37.5081727966","http://place.map.kakao.com/24857010"
"세일아트홀","12207609",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 공연장,연극극장","CT1","문화시설","02-555-4713","서울 강남구 역삼동 727-13","서울 강남구 논현로 414","127.0390144746","37.4972245536","http://place.map.kakao.com/12207609"
"세텍","1522398222",1,4,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","02-2187-4600","서울 강남구 대치동 514","서울 강남구 남부순환로 3104","127.0719298866","37.4956683767","http://place.map.kakao.com/1522398222"
"송은","12964941",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-3448-0100","서울 강남구 청담동 92-9","서울 강남구 도산대로 441","127.0441203029","37.5241627893","http://place.map.kakao.com/12964941"
"슈페리어갤러리","24917952",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-2192-3366","서울 강남구 대치동 945-5","서울 강남구 테헤란로 528","127.0619119728","37.5081349603","http://place.map.kakao.com/24917952"
"스페이스비이갤러리","16065057",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-540-0145","서울 강남구 논현동 132-22","서울 강남구 학동로26길 14","127.0294805955","37.5125047642","http://place.map.kakao.com/16065057"
"스페이스씨","8556673",1,3,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-547-9177","서울 강남구 신사동 627-10","서울 강남구 언주로 827","127.0327567743","37.5241304475","http://place.map.kakao.com/8556673"
"아뜰리에에르메스","18887741",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","","서울 강남구 신사동 630-26","서울 강남구 도산대로45길 7","127.0353625547","37.5227673803","http://place.map.kakao.com/18887741"
"아트301","1204870635",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-3446-5891","서울 강남구 청담동 100-4","서울 강남구 압구정로 443","127.046017859","37.5267073963","http://place.map.kakao.com/1204870635"
"아트강","551907075",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","010-5251-5463","서울 강남구 신사동 547-10","서울 강남구 가로수길 70-3","127.0230093951","37.5226965507","http://place.map.kakao.com/551907075"
"아트부스 서울","918602871",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","010-5088-1260","서울 강남구 삼성동 153-23","서울 강남구 삼성로100길 21","127.0572038921","37.510076296","http://place.map.kakao.com/918602871"
"에스파스루이비통 서울","397173731",1,3,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-3432-1854","서울 강남구 청담동 99-18","서울 강남구 압구정로 454","127.0462242123","37.5256144002","http://place.map.kakao.com/397173731"
"예림당아트홀","8027783",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 공연장,연극극장","CT1","문화시설","","서울 강남구 역삼동 772","서울 강남구 언주로 337","127.0444338539","37.4977740555","http://place.map.kakao.com/8027783"
"오페라갤러리","16646603",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-3446-0070","서울 강남구 신사동 649-7","서울 강남구 언주로164길 24","127.0354746747","37.5254253037","http://place.map.kakao.com/16646603"
"유아트스페이스","8036293",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","02-544-8585","서울 강남구 청담동 101-6","서울 강남구 압구정로71길 10","127.0458293482","37.527387726","http://place.map.kakao.com/8036293"
"윤당아트홀","22045591",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 공연장,연극극장","CT1","문화시설","02-3446-9795","서울 강남구 신사동 634-10","서울 강남구 언주로 844","127.033723577","37.5256997214","http://place.map.kakao.com/22045591"
"이유진갤러리","15292358",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-542-4964","서울 강남구 청담동 116-7","서울 강남구 압구정로77길 17","127.0476817352","37.5262913743","http://place.map.kakao.com/15292358"
"일지아트홀","17087789",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 공연장,연극극장","CT1","문화시설","0507-1398-3365","서울 강남구 청담동 86","서울 강남구 선릉로 806","127.0396448913","37.5238904716","http://place.map.kakao.com/17087789"
"캐논갤러리","1937205899",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","02-6719-8700","서울 강남구 논현동 235-14","서울 강남구 봉은사로 217","127.0357628015","37.5081007212","http://place.map.kakao.com/1937205899"
"코엑스","17573702",1,4,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","02-6000-0114","서울 강남구 삼성동 159","서울 강남구 영동대로 513","127.0591585916","37.5118241826","http://place.map.kakao.com/17573702"
"코엑스 아쿠아리움","12860036",1,4,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 아쿠아리움","CT1","문화시설","02-700-7200","서울 강남구 삼성동 159","서울 강남구 영동대로 513","127.058483446","37.513409385","http://place.map.kakao.com/12860036"
"탄허기념불교박물관","12764695",1,4,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 박물관","CT1","문화시설","02-445-8486","서울 강남구 자곡동 285","서울 강남구 밤고개로14길 13-51","127.1029845199","37.4790235972","http://place.map.kakao.com/12764695"
"트리스탄갤러리","958174593",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","","서울 강남구 신사동 543","서울 강남구 논현로153길 53","127.0238909527","37.5201609537","http://place.map.kakao.com/958174593"
"페로탕","1822604974",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-545-7978","서울 강남구 신사동 651","서울 강남구 도산대로45길 10","127.0357925514","37.5230303435","http://place.map.kakao.com/1822604974"
"포스코미술관","8131882",1,4,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-3457-1665","서울 강남구 대치동 892","서울 강남구 테헤란로 440","127.0557022525","37.5060378093","http://place.map.kakao.com/8131882"
"피규어뮤지엄W","26524097",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","02-512-8865","서울 강남구 청담동 84-9","서울 강남구 선릉로158길 3","127.0403868862","37.525785929","http://place.map.kakao.com/26524097"
"호림아트센터","26436646",1,5,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 박물관","CT1","문화시설","02-541-3523","서울 강남구 신사동 651-23","서울 강남구 도산대로 317","127.0360457714","37.5226590534","http://place.map.kakao.com/26436646"
"히든엠갤러리","159418263",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","02-539-2346","서울 강남구 역삼동 725-7","서울 강남구 논현로86길 16","127.0389253307","37.4997762329","http://place.map.kakao.com/159418263"
"갤러리아백화점 EAST점","9766149",1,5,0,"department_store","백화점","department_store","","","가정,생활 > 백화점 > 갤러리아백화점","","","02-3449-4114","서울 강남구 압구정동 515","서울 강남구 압구정로 407","127.0418814075","37.5279766452","http://place.map.kakao.com/9766149"
"롯데백화점 강남점","7863067",1,4,0,"department_store","백화점","department_store","","","가정,생활 > 백화점 > 롯데백화점","","","1577-0001","서울 강남구 대치동 937","서울 강남구 도곡로 401","127.0532811437","37.4969594907","http://place.map.kakao.com/7863067"
"캉카스백화점 강남메종","26859664",1,3,0,"department_store","백화점","department_store","","","가정,생활 > 백화점","","","1544-9559","서울 강남구 삼성동 45-15","서울 강남구 봉은사로 455","127.0492607936","37.5121810178","http://place.map.kakao.com/26859664"
"하우스오브신세계 청담","398041684",1,4,0,"department_store","백화점","department_store","","","가정,생활 > 백화점","","","1588-1234","서울 강남구 청담동 4-1","서울 강남구 도산대로 442","127.0441186703","37.5233113426","http://place.map.kakao.com/398041684"
"현대백화점 무역센터점","18384587",1,4,0,"department_store","백화점","department_store","","","가정,생활 > 백화점 > 현대백화점","","","02-552-2233","서울 강남구 삼성동 159-7","서울 강남구 테헤란로 517","127.0597747592","37.5086514358","http://place.map.kakao.com/18384587"
"현대백화점 압구정본점","21297272",1,5,0,"department_store","백화점","department_store","","","가정,생활 > 백화점 > 현대백화점","","","02-547-2233","서울 강남구 압구정동 429","서울 강남구 압구정로 165","127.0274681899","37.5273727007","http://place.map.kakao.com/21297272"
"강남역 먹자골목","309803194",0,4,0,"tourist_attraction","관광명소","tourist_attraction","","","여행 > 관광,명소 > 테마거리 > 먹자골목","AT4","관광명소","","서울 강남구 역삼동 800-48","","127.0269270998","37.5012842571","http://place.map.kakao.com/309803194"
"광수산","799577422",0,5,0,"tourist_attraction","관광명소","tourist_attraction","","","여행 > 관광,명소 > 산","AT4","관광명소","","서울 강남구 수서동 산 10-1","","127.0939067463","37.4886809594","http://place.map.kakao.com/799577422"
"구룡산나들길","26563538",0,5,0,"tourist_attraction","관광명소","tourist_attraction","","","여행 > 관광,명소 > 도보여행","AT4","관광명소","","서울 강남구 개포동","","127.0568900835","37.4721332253","http://place.map.kakao.com/26563538"
"논현가구거리","8216140",0,4,0,"tourist_attraction","관광명소","tourist_attraction","","","여행 > 관광,명소 > 테마거리","AT4","관광명소","","서울 강남구 논현동 55-16","서울 강남구 학동로 125","127.024779774","37.5124049315","http://place.map.kakao.com/8216140"
"대모산","10241368",0,5,0,"tourist_attraction","관광명소","tourist_attraction","","","여행 > 관광,명소 > 산","AT4","관광명소","","서울 강남구 일원동","","127.0790106836","37.4748280396","http://place.map.kakao.com/10241368"
"로이킴숲","27529620",0,4,0,"tourist_attraction","관광명소","tourist_attraction","","","여행 > 관광,명소 > 숲","AT4","관광명소","","서울 강남구 개포동 156","서울 강남구 선릉로18길 15","127.0604287258","37.4864863465","http://place.map.kakao.com/27529620"
"마루공원산책로","25700728",0,5,0,"tourist_attraction","관광명소","tourist_attraction","","","여행 > 관광,명소 > 숲","AT4","관광명소","","서울 강남구 개포동 18-1","","127.0806332704","37.4961438944","http://place.map.kakao.com/25700728"
"매봉산","573013991",0,5,0,"tourist_attraction","관광명소","tourist_attraction","","","여행 > 관광,명소 > 산","AT4","관광명소","","서울 강남구 도곡동 산 179-3","","127.0441108172","37.4907463225","http://place.map.kakao.com/573013991"
"서울테마산책길 강남구 양재천","1961815785",0,5,0,"tourist_attraction","관광명소","tourist_attraction","","","여행 > 관광,명소 > 도보여행","AT4","관광명소","","서울 강남구 대치동 513-3","","127.0626747734","37.4897828649","http://place.map.kakao.com/1961815785"
"선정릉나들길","26563540",0,5,0,"tourist_attraction","관광명소","tourist_attraction","","","여행 > 관광,명소 > 도보여행","AT4","관광명소","","서울 강남구 삼성동","","127.0513134104","37.5101006259","http://place.map.kakao.com/26563540"
"스머프매직포레스트","218343539",1,3,0,"tourist_attraction","관광명소","tourist_attraction","","","여행 > 관광,명소 > 테마파크","AT4","관광명소","02-564-1114","서울 강남구 역삼동 616-14","서울 강남구 강남대로106길 29","127.0278439607","37.5034906076","http://place.map.kakao.com/218343539"
"신사동가로수길","1072331783",0,5,0,"tourist_attraction","관광명소","tourist_attraction","","","여행 > 관광,명소 > 테마거리","AT4","관광명소","","서울 강남구 신사동 530","서울 강남구 압구정로 120","127.0228369772","37.5211558695","http://place.map.kakao.com/1072331783"
"신화숲","19469850",0,5,0,"tourist_attraction","관광명소","tourist_attraction","","","여행 > 관광,명소 > 숲","AT4","관광명소","","서울 강남구 개포동 1271","서울 강남구 개포로28길 47","127.0518033485","37.479275166","http://place.map.kakao.com/19469850"
"압구정로데오거리","7990409",0,5,0,"tourist_attraction","관광명소","tourist_attraction","","","여행 > 관광,명소 > 테마거리","AT4","관광명소","","서울 강남구 신사동 668-33","","127.0391520295","37.526755823","http://place.map.kakao.com/7990409"
"일원동맛의거리","27506532",0,3,0,"tourist_attraction","관광명소","tourist_attraction","","","여행 > 관광,명소 > 테마거리 > 먹자골목","AT4","관광명소","","서울 강남구 일원동","","127.0819649224","37.4895007545","http://place.map.kakao.com/27506532"
"롭스앤그레이","27594123",1,2,1,"drugstore","드럭스토어","drugstore","","","서비스,산업 > 법률,행정 > 변호사","","","02-2141-5900","서울 강남구 역삼동 735-3","서울 강남구 테헤란로 134","127.0335918878","37.4994354876","http://place.map.kakao.com/27594123"
"올리브베러 강남역점","1913991928",1,2,0,"drugstore","드럭스토어","drugstore","","","가정,생활 > 드럭스토어 > 올리브영","","","1577-4887","서울 강남구 역삼동 826","서울 강남구 강남대로 374","127.0290671177","37.4962894721","http://place.map.kakao.com/1913991928"
"올리브영 가로수길 타운","979788996",1,2,0,"drugstore","드럭스토어","drugstore","","","가정,생활 > 드럭스토어 > 올리브영","","","1577-4887","서울 강남구 신사동 537-8","서울 강남구 도산대로 133","127.0230079304","37.5179266411","http://place.map.kakao.com/979788996"
"올리브영 강남구청역점","13033012",1,2,0,"drugstore","드럭스토어","drugstore","","","가정,생활 > 드럭스토어 > 올리브영","","","02-546-5291","서울 강남구 논현동 119-2","서울 강남구 선릉로 703","127.0407761934","37.5177380388","http://place.map.kakao.com/13033012"
